Org Name,Budget,Org Code,Org Type,Function,Contact Name,Address 1,Address 2,Town,State,Zip,Phone,Fax,Grade
UP Academy Charter School of Dorchester (District),,35050000,Charter District,Charter School Leader,Lana Ewing,35 Westville Street,,Boston,MA,2124,617-635-8810,--,"PK,K,01,02,03,04,05"
Up-Island Regional,,7740000,Public School District,Superintendent,James Weiss,4 Pine Street,,Vineyard Haven,MA,2568,508-693-2007,508-693-3190,"PK,K,01,02,03,04,05,06,07,08"
Upper Cape Cod Regional Vocational Technical,,8790000,Public School District,Superintendent,Robert Dutch,220 Sandwich Rd,,Bourne,MA,2532,508-759-7711,508-759-7208,"09,10,11,12"
Upton (non-op),,3030000,Public School District,Superintendent,Joseph Maruszczak,"150 North Ave, POB 5",,Mendon,MA,1756,508-634-1585,508-634-1582,NA
Uxbridge,,3040000,Public School District,Superintendent,Kevin Carney,21 South Main Street,,Uxbridge,MA,1569,508-278-8648,508-278-8612,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Veritas Preparatory Charter School (District),,4980000,Charter District,Charter School Leader,Rachel Romano,370 Pine Street,,Springfield,MA,1105,413-539-0055,--,"05,06"
Wachusett,,7750000,Public School District,Superintendent,Anthony Gasbarro,1745 Main Street,c/o Jefferson School,Jefferson,MA,1522,508-829-1670,508-829-1680,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Wakefield,yes,3050000,Public School District,Superintendent,Stephen Zrike,60 Farm Street,,Wakefield,MA,1880,781-246-6400,781-245-9164,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Wales,,3060000,Public School District,Superintendent,Erin Nosek,320 Brookfield Rd,,Fiskdale,MA,1518,508-347-3077,508-347-2697,"PK,K,01,02,03,04,05,06"
Walpole,,3070000,Public School District,Superintendent,Lincoln Lynch,135 School Street,,Walpole,MA,2081,508-660-7200,508-668-1167,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Waltham,yes,3080000,Public School District,Superintendent,Susan Nicholson,617 Lexington Street,,Waltham,MA,2452,781-314-5400,781-314-5411,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Ware,,3090000,Public School District,Superintendent,Mary Elizabeth Beach,P O Box 240,,Ware,MA,1082,413-967-4271,413-967-9580,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Wareham,,3100000,Public School District,Superintendent,Kimberly Shaver-Hood,48 Marion Road,,Wareham,MA,2571,508-291-3500,508-291-3578,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Warren (non-op),,3110000,Public School District,Superintendent,Brett Kustigian,284 Old West Brookfield Road,PO Box 1538,Warren,MA,1083,413-436-9256,413-436-9738,NA
Warwick (non-op),,3120000,Public School District,Superintendent,Dayle Doiron,97 F Sumner Turner Rd,,Northfield,MA,1360,413-498-2911,413-498-0045,NA
Washington (non-op),,3130000,Public School District,Superintendent,William Cameron,PO Box 299,,Dalton,MA,1227,413-684-0320,413-684-4088,NA
Watertown,yes,3140000,Public School District,Superintendent,Jean Fitzgerald,30 Common Street,,Watertown,MA,2472,617-926-7700,617-923-1234,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Wayland,,3150000,Public School District,Superintendent,Paul Stein,41 Cochituate Rd,,Wayland,MA,1778,508-358-3774,508-358-7708,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Webster,,3160000,Public School District,Superintendent,Barbara Malkas,PO Box 430,,Webster,MA,1570,508-943-0104,508-943-0315,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Wellesley,yes,3170000,Public School District,Superintendent,David Lussier,40 Kingsbury Street,,Wellesley,MA,2481,781-446-6210,781-446-6207,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Wellfleet,,3180000,Public School District,Superintendent,Richard Hoffmann,78 Eldredge Pkwy,,Orleans,MA,2653,508-255-8800,508-240-2351,"PK,K,01,02,03,04,05"
Wendell (non-op),,3190000,Public School District,Superintendent,Robert Mahler,18 Pleasant Street,,Erving,MA,1344,413-423-3337,413-423-3236,NA
Wenham (non-op),,3200000,Public School District,Superintendent,Michael Harvey,5 School Street,,Wenham,MA,1984,978-468-5310,978-468-7889,NA
West Boylston,,3220000,Public School District,Superintendent,Elizabeth Schaper,125 Crescent Street,,West Boylston,MA,1583,508-835-2917,508-835-8992,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
West Bridgewater,,3230000,Public School District,Superintendent,Patricia Oakley,2 Spring Street,,West Bridgewater,MA,2379,508-894-1230,508-894-1232,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
West Brookfield (non-op),,3240000,Public School District,Superintendent,Brett Kustigian,48 High Street,PO Box 1538,Warren,MA,1083,413-436-9256,413-436-9738,NA
West Newbury (non-op),,3290000,Public School District,Superintendent,Jeffrey Mulqueen,22 Main Street,,West Newbury,MA,1985,978-363-2280,978-363-1165,NA
West Springfield,,3320000,Public School District,Superintendent,Russell Johnston,26 Central Street,,West Springfield,MA,1089,413-263-3300,413-495-1725,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
West Stockbridge (non-op),,3330000,Public School District,Superintendent,Peter Dillon,207 Pleasant Street,PO Box 596,Housatonic,MA,1236,413-274-6400,--,NA
West Tisbury (non-op),,3340000,Public School District,Superintendent,James Weiss,4 Pine Street,,Vineyard Haven,MA,2568,508-693-2007,508-693-3190,NA
Westborough,,3210000,Public School District,Superintendent,Marianne O'Connor,45 West Main Street,,Westborough,MA,1581,508-836-7700,508-836-7704,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Westfield,,3250000,Public School District,Superintendent,Suzanne Scallion,1029 North Road,c/o 22-23 Hampton Ponds Plaza,Westfield,MA,1085,413-572-6403,413-535-0353,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Westford,,3260000,Public School District,Superintendent,Everett Olsen,23 Depot Street,,Westford,MA,1886,978-692-5560,978-392-4497,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Westhampton,,3270000,Public School District,Superintendent,Craig Jurgensen,19 Stage Rd,,Westhampton,MA,1027,413-527-7200,413-529-9497,"PK,K,01,02,03,04,05,06"
Westminster (non-op),,3280000,Public School District,Superintendent,Ralph Hicks,11 Oakmont Drive,,Ashburnham,MA,1430,978-827-1434,978-827-5969,NA
Weston,,3300000,Public School District,Superintendent,Cheryl Maloney,89 Wellesley Street,,Weston,MA,2493,781-786-5210,781-786-5209,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Westport,,3310000,Public School District,Superintendent,Ann Marie Dargon,17 Main Rd,,Westport,MA,2790,508-636-1140,508-636-1146,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Westwood,,3350000,Public School District,Superintendent,John Antonucci,220 Nahatan Street,,Westwood,MA,2090,781-326-7500,781-326-8154,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Weymouth,,3360000,Public School District,Superintendent,Kenneth Salim,111 Middle Street,,Weymouth,MA,2189,781-335-1460,781-335-8777,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Whately,,3370000,Public School District,Superintendent,Martha Barrett,219 Christian Ln RFD1,,South Deerfield,MA,1373,413-665-1155,413-665-8506,"PK,K,01,02,03,04,05,06"
Whitman (non-op),,3380000,Public School District,Superintendent,Ruth Gilbert-Whitner,610 Franklin Street,,Whitman,MA,2382,781-618-7412,781-618-7412,NA
Whitman-Hanson,,7800000,Public School District,Superintendent,Ruth Gilbert-Whitner,610 Franklin Street,,Whitman,MA,2382,781-618-7412,781-618-7498,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Whittier Regional Vocational Technical,,8850000,Public School District,Superintendent,William DeRosa,115 Amesbury Line Rd,,Haverhill,MA,1830,978-373-4101,978-521-0260,"09,10,11,12"
Wilbraham (non-op),,3390000,Public School District,Superintendent,Maurice O'Shea,621 Main Street,,Wilbraham,MA,1095,413-596-3884,413-599-1328,NA
Williamsburg,,3400000,Public School District,Superintendent,Craig Jurgensen,19 Stage Rd,,Westhampton,MA,1027,413-527-7200,413-529-9497,"PK,K,01,02,03,04,05,06"
Williamstown,,3410000,Public School District,Superintendent,Rose Ellis,1781 Cold Spring Road,,Williamstown,MA,1267,413-458-9582,413-458-2856,"PK,K,01,02,03,04,05,06"
Wilmington,,3420000,Public School District,Superintendent,Joanne Benton,161 Church Street,,Wilmington,MA,1887,978-694-6000,978-694-6005,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Winchendon,,3430000,Public School District,Superintendent,Salah Khelfaoui,175 Grove Street,,Winchendon,MA,1475,978-297-0031,978-297-5250,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Winchester,yes,3440000,Public School District,Superintendent,William McAlduff,40 Samoset Road,,Winchester,MA,1890,781-721-7004,781-721-0016,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Windsor (non-op),,3450000,Public School District,Superintendent,William Cameron,PO Box 299,,Dalton,MA,1227,413-684-0320,413-684-4088,NA
Winthrop,,3460000,Public School District,Superintendent,John Macero,1 Metcalf Square,,Winthrop,MA,2152,617-846-5500,617-539-0891,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Woburn,,3470000,Public School District,Superintendent,Mark Donovan,55 Locust Street,,Woburn,MA,1801,781-937-8233,781-932-0668,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Worcester,,3480000,Public School District,Superintendent,Melinda Boone,20 Irving Street,,Worcester,MA,1609,508-799-3115,508-799-3119,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Worthington (non-op),,3490000,Public School District,Superintendent,David Hopson,12 Littleville Road,,Huntington,MA,1050,413-685-1011,413-667-8739,NA
Wrentham,,3500000,Public School District,Superintendent,Christopher Martes,120 Taunton Street,,Wrentham,MA,2093,508-384-5439,508-384-5444,"PK,K,01,02,03,04,05,06"
Yarmouth (non-op),,3510000,Public School District,Superintendent,Carol Woodbury,296 Station Avenue,,South Yarmouth,MA,2664,508-398-7605,508-398-7622,NA
